,industry_detail,industry_code,industry_region,Impact Potential/ACID/kg SO2 eq,Waste Generated/CCDD/kg,Waste Generated/CMSW/kg,Waste Generated/CRHW/kg,Resource Use/ENRG/MJ,Impact Potential/EUTR/kg N eq,Impact Potential/ETOX/CTUe,Resource Use/WATR/kg,Impact Potential/GHG/kg CO2 eq,Chemical Releases/HAPS/kg,Impact Potential/HCAN/CTUh,Impact Potential/HNCN/CTUh,Impact Potential/HRSP/kg PM2.5 eq,Impact Potential/HTOX/CTUh,Economic & Social/JOBS/jobs,Resource Use/LAND/m2*yr,Resource Use/MNRL/kg,Resource Use/NNRG/MJ,Impact Potential/OZON/kg CFC-11 eq,Chemical Releases/PEST/kg,Resource Use/RNRG/MJ,Impact Potential/SMOG/kg O3 eq,Economic & Social/VADD/$
229,Cardboard,322130,US,92588258.51790439,9513472.551030118,89468863.37029898,349458.5688077181,884381791894.3322,7128456.084122485,187669626.91274968,37055235950.99617,18928089895.41987,23545916.077208344,11.557329281825204,338.384028304275,30670525.96326678,349.9413575861001,40914.12354696977,22309180.27475674,0.0,0.0,10896.239910658638,0.0,884381791894.3322,1247800795.8991916,10908207617.401825
230,Cardboard containers,322210,US,2337418.265790305,15788577.939020153,148482703.32598466,986437.094578928,140140919266.1951,107761.1289364063,1862868.8977352765,159605197454.0233,4271246953.545361,171855.1794995388,0.35742074313309724,2.131803368835748,508668.8351655122,2.489224111968845,171225.8258162769,65145330.96841962,0.0,0.0,1.7285653145710373,0.0,140140919266.1951,45065817.00774408,14912432622.888157
231,Paper bags and coated paper,322220,US,2278877.225458256,7216711.484150178,67819998.96577315,8728971.365104124,14115275635.868864,88057.83822966134,6267990.010357508,68986169421.68175,2089243763.2931316,340313.6758056546,0.23123444895401596,5.711775740322507,469397.35552931076,5.943010189276523,70966.4615089067,28097214.15264808,0.0,0.0,220.6624245960912,0.0,14115275635.868864,28867607.747611977,7612425841.14702
232,Stationery,322230,US,213690.94269748376,2022170.0059079078,19010365.19572045,300609.2915909086,622841.8937228943,7496.495559560514,117361.74477902838,22403052302.87169,175156214.84480593,8308.09675615196,0.010762182580513958,0.10819870715936357,32394.442623155763,0.11896088973987753,22406.93529264508,8310786.375803265,0.0,0.0,0.04853137985993261,0.0,622841.8937228943,2997713.727593603,2304474517.061231
233,"Sanitary paper (tissues, napkins, diapers, etc.)",322291,US,10962296.822999308,2834803.0983121176,26659730.163321804,879515.91840453,90278723731.88153,440241.70599807147,28962119.38629898,21824399304.61272,1855469355.828971,1596047.8394362137,1.208828464411771,33.58926136564983,2551130.1046566535,34.798089830061606,22670.333474120387,9078899.39463833,0.0,0.0,964.4550688400072,0.0,90278723731.88153,128038127.60533841,3805579247.7131734
234,All other converted paper products,322299,US,557298.5926123044,1878493.2785804402,17660943.700623058,1376525.8745119444,22281097.44540639,26047.108050711333,1091679.6402361027,21566693995.932976,646793775.9246753,31482.62128634412,0.0762964701452842,1.2997801358703802,206787.13602750824,1.3760766060156637,23033.81776312378,7653173.312089355,0.0,0.0,0.8453372849228823,0.0,22281097.44540639,11576411.879925177,2061700506.932833
235,"Books, newspapers, magazines, and other print media",323110,US,2574605.7342199213,45933925.267995365,444583279.52044684,54272888.33783269,90664881.18019155,161595.12049454334,11276338.768967966,331226372374.498,5467525460.556037,1819591.677486308,0.7389380901839446,4.357119076263789,304994.64466858975,5.096057166447733,371752.14567793,87317406.48792847,0.0,0.0,12.486669823845778,0.0,90664881.18019155,98835893.43128757,31650774189.359814
236,Printing support,323120,US,101150.28354468683,3290095.450232349,30941498.881988477,2084575.1897052673,0.0,6295.400994968578,225523.10221936353,30891516511.878906,189159793.68212572,39169.72324876869,0.019198686233160216,0.07236432799433935,9142.891141850932,0.09156301422749963,31480.537494528493,8251873.087804459,0.0,0.0,0.24752165270500784,0.0,0.0,3177194.0180778066,2749744271.867552
237,"Gasoline, fuels, and by-products of petroleum refining",324110,US,177284278.04054576,14578628.038455257,141463218.40763867,5200141435.688777,3305656448288.4976,8622284.254575038,455290045.35843766,114480875613.61772,149155947352.7401,15045955.323528185,44.823954874192594,838.622328683464,65932971.05495202,883.4462835576563,82945.68021364871,11971015166.929798,0.0,3305656433123.9365,2958.4542093662085,0.0,15164.561535222301,3808356280.8166566,172198848990.13925
238,Asphalt pavement,324121,US,13049923.796493266,342800.66962495336,3272763.671174994,305351.76280033885,0.0,676859.6931060462,31619438.61459766,13924419130.824175,12398915188.906694,783398.0674835951,4.231420119126684,50.42368897709067,3250779.3585617645,54.65510909621736,14081.565215506496,5205510.71649821,5150911465.70704,0.0,2307.588511179115,0.0,0.0,282314072.1699667,3006426406.0006104
239,Asphalt shingles,324122,US,5599023.182304305,277543.7146900467,2610142.6747807655,1387874.0920529033,0.0,315870.27569323056,10896224.953278143,11601476002.420738,6952262586.180042,583670.7395744472,2.1455297574231897,50.87302243050932,1269513.7109945437,53.01855218793249,11408.970475931714,5579883.366746487,0.0,0.0,21.57279592900895,0.0,0.0,117006581.29631998,4058520917.0657644
240,Other petroleum and coal products,324190,US,147824073.6744012,1313901.1516856193,12359293.291869622,143608393.13080317,3966224.103296776,1497285.0767674684,266791591.15697673,22023311672.128742,14138107929.129074,2444332.6270561786,7.705023364481797,417.6358925665157,16507103.911601465,425.34091593099754,21062.84875120081,8274137.2471439885,209918254.16725615,0.0,660.6152488530643,0.0,3966224.103296776,551832798.6092374,12127922219.563133
241,Petrochemicals,325110,US,64012103.112618424,11966827.624244452,112541289.2182946,1763988328.610559,611552.9813912024,3418772.2080617594,355580115.66081214,39665822765.35,34466622549.54869,7376213.722050867,9.09989235709644,280.611147940132,17178264.803490225,289.7110402972284,42971.73376640529,5173309.440769348,0.0,0.0,23801.660452445863,0.0,611552.9813912024,1363286219.782627,44432286858.96973
242,Compressed Gases,325120,US,5993443.467888202,1259955.5938939028,11881642.625859661,32526479.12689269,25257669266.6903,293324.72037379484,67923982.2057949,23874828531.369198,10133083958.833277,408670.63033952116,2.6012580692594542,137.3856702622482,1079967.857106082,139.9869283315078,21562.359854933075,93482098.73058553,0.0,25147535455.449814,105206.88941137394,0.0,110133811.24048793,89221161.35480613,4147855428.665819
243,Synthetic dyes and pigments,325130,US,2261623.693878483,1421899.0261092766,13372161.32175887,2954770598.3213277,53818.616546776626,121570.75142241897,143766810.36956125,20978246686.429417,13966750390.594986,2604636.385607685,0.7400703324415318,5.088988359862866,1107258.9898057545,5.829058692304399,19400.631037543266,7257433.517859202,0.0,0.0,252.27356490783174,0.0,53818.616546776626,49130738.593232505,5358879645.417597
244,Other basic inorganic chemicals,325180,US,37787502.136535466,6985039.664804863,68882322.57928687,5890899472.255986,5476858.685763592,1608911.3920757489,157170701.01883876,93363965968.16644,14130250100.998146,949810.9304791646,14.19302704421771,1095.9395542260709,16971670.766419154,1110.1325812702894,75409.09289915007,524447385.4927209,241237531673.1593,0.0,11997.12140688756,0.0,5476858.685763592,446852147.6815343,23745303743.126507
245,Other basic organic chemicals,325190,US,121561129.35146596,21985031.08814673,204802219.20147187,15509007003.576187,11963173364.502602,4654401.19685417,661850804.6349407,73120648419.67189,127306637071.26007,9284076.79543527,15.619921479426777,401.99521131872103,27743465.661206845,417.6151327981476,80381.65309507633,69444060.79805313,0.0,8788263970.58585,275490.3370917557,0.0,3174909393.9167514,1531421660.9227874,40815390823.331604
246,Plastics,325211,US,34853819.6978843,14220619.257427666,133676332.84002708,1328744791.0055902,8335325.448268318,1738583.7940815843,391488759.0186637,72343074136.55612,100820333402.75314,7083867.086130507,6.748631298274515,130.323644729086,8588231.698017111,137.07227602736046,79616.19533963164,40412441.00477447,0.0,0.0,73813.72291032266,0.0,8335325.448268318,689285605.8460753,24480582269.49017
247,Synthetic rubber and artificial and synthetic fibers,3252A0,US,9925415.663238391,5367025.317993482,50425077.14840502,281658082.2971284,1986149.9877799372,434664.9207855241,634948094.0303681,68723013331.96095,12230910267.382086,4749375.773652281,1.9875333291135533,28.293719176740808,2038696.450512187,30.2812525058544,74858.96731009957,23527652.186123602,0.0,0.0,4572.655035126142,0.0,1986149.9877799372,184156740.0882509,8582470716.864034
248,Medicinal and botanical ingredients,325411,US,1587363.8748143823,1926529.572501784,18117040.515775774,97361912.25490545,509739.3080136787,56135.84907283369,2875951.443816775,20855743546.88995,5387291062.799574,95664.24442451382,0.1069522066733249,3.460225959671221,190297.99149970931,3.5671781663445477,22816.60085707532,6284191.905119557,0.0,0.0,502.8422823249901,0.0,509739.3080136787,19782778.57991976,6555026844.096879
249,"Pharmaceutical products (pills, powders, solutions, etc.)",325412,US,2007138.7058533903,18240751.65898406,171368574.79546335,69847362.57565606,347391378.3389752,125414.61292535914,187335117.14658266,139173125454.06332,1685446551.694629,206984.4417498423,0.35380621913540944,8.246477975519806,431564.2186798449,8.600284194655211,147744.92445713392,23869442.778563563,0.0,0.0,354.87094494173124,0.0,347391378.3389752,36790055.801067956,75033145619.69452
250,"Blood sugar, pregnancy, and other diagnostic test kits",325413,US,137620.2200097653,1694347.730649908,15904816.033426274,2094471.623176638,3670847.452654953,8471.457489402796,123145.01811937758,17734254920.413006,175039403.80727896,10450.023121978917,0.021342933108418727,0.163789169495143,14700.436059676706,0.1851321026035616,19100.521287931046,5494787.108141888,0.0,0.0,0.3113458027170324,0.0,3670847.452654953,3084677.575129299,6583598249.260143
251,Vaccines and other biological medical products,325414,US,1173458.6707993231,5634860.845660562,52992699.82899336,8674774.071397139,9282550.513291435,71318.0113017898,951046.2709576357,41907588796.53341,815110231.7699842,54137.3330216677,0.10239986309850886,5.0999083479766485,132909.59149247984,5.2023082110751595,46162.86072526156,13188196.656243265,0.0,0.0,178.56437431899508,0.0,9282550.513291435,12353230.30115913,26631934840.26221
252,Fertilizers,325310,US,149585466.5594189,7126564.720956243,67020352.2436801,199859560.20081916,1833679598.0370922,10995049.50051102,815024343.350231,42805263537.22959,73252787146.62079,3193543.2021348905,6.042663318095821,751.9346473217408,12606029.214248512,757.9773106398366,46596.9116517206,21868536.052849926,0.0,1823418698.44216,2690.9662865589776,0.0,10260899.594932565,710225128.8925216,17370895866.06067
253,Pesticides,325320,US,2535963.7702544336,2452899.6910735723,23068143.220255874,358043995.6834803,4370116.172947474,550346.1280216936,5447691595.054802,15860623987.980991,3820485874.7468204,583773.4294358358,5.139203471419511,12.119565777255046,638194.8759699243,17.258769248674547,17102.102354983963,6204254.860193779,0.0,0.0,10507.598426175518,0.0,4370116.172947474,42472523.04835399,5909457020.536104
254,Paints and coatings,325510,US,1282825.0361607336,3478775.524920212,32662486.413449522,66352969.658193655,1813963.287266934,60342.07716398197,32606021.96431564,37443189705.6572,2351935042.4393415,801619.2109112306,1.0603436148515695,10.486293001495586,544063.7309321204,11.546636616347154,38172.30883444478,16692169.706040433,0.0,0.0,365.3956290888686,0.0,1813963.287266934,32459212.32110255,8986442100.53282
255,Adhesives,325520,US,1364103.4670980733,1731215.7678274557,16272976.698031582,86319690.08242425,169979.46760335396,64539.87508198546,11306734.489714693,22075287273.45776,3761687043.9701433,347415.7635968166,0.2636467021989107,2.8991896530603216,389827.75340761483,3.162836355259229,22586.076774513505,8925630.205460366,0.0,0.0,1177.618332606778,0.0,169979.46760335396,26322521.79307673,4668159795.492573
256,Soap and cleaning compounds,325610,US,6616140.629143499,5990925.052954514,56323517.617041074,191969321.97923043,11561508.501400618,199020.67396058846,16349902.818413116,63583793054.67739,12154502607.043505,522730.3706299056,0.8612164059463575,23.347794043455078,1451836.592947615,24.20901044940144,66262.33921542834,21326330.830177505,0.0,0.0,3344.1699433426093,0.0,11561508.501400618,74350825.54478922,20791687801.71555
257,Toiletries,325620,US,905788.8384332575,3681339.758841736,34608568.12833298,3969423.325113759,1469385.7799726857,37524.673045396295,614212.2118243555,38587543643.16399,1418629373.6046984,27412.06432047331,0.07360017644933586,1.27584248482298,331332.0830390909,1.3494426612723163,41781.712222211434,16766616.719714023,0.0,0.0,12.078523370819884,0.0,1469385.7799726857,14422777.265337452,15861648460.518614
258,Ink and ink cartridges,325910,US,1202055.1853682504,660618.778048692,6211277.015822752,5062461.100513398,13938778.4830566,43797.983410681794,6108533.801166925,9717973942.864763,1422206913.1100452,120271.06922143883,0.5000634271407974,1.4863624952078378,195492.10264698748,1.9864259223486351,10945.640705014815,3779481.0353523437,0.0,0.0,706.0468563251649,0.0,13938778.4830566,18194737.45867339,1421630642.0211513
259,"Chemicals (except basic chemicals, agrichemicals, polymers, paints, pharmaceuticals,soaps, cleaning compounds)",3259A0,US,23521067.758166905,6217095.349766669,58355068.53817033,258035979.49999636,1741124948.8437245,844914.7397761467,106970283.47623,85542786953.62979,7297613166.149563,2947107.049713558,7.266828391902414,89.33495739800773,4042445.270028755,96.60178578991015,92717.25372492029,37417289.83013134,0.0,0.0,72269.46756308519,0.0,1741124948.8437245,203874796.3285414,16508762317.005665
260,"Plastic bags, films, and sheets",326110,US,2267647.888425315,19173494.7758693,180199198.0303795,77631225.85229385,5269196.901654782,125355.58260968247,42409700.13679273,106552296035.72928,5167186214.298257,1776871.751397641,0.5463636534160669,6.337909999413391,660230.4613667743,6.884273652829458,117716.33966474708,40726860.01438861,0.0,0.0,2701.092546578468,0.0,5269196.901654782,79771482.97939022,14129046467.03357
261,"Plastic pipe, fittings, and sausage casings",326120,US,1100976.6176716967,6759104.034393214,63559694.027977146,3747518.726097574,233907.84078057398,94235.49243862214,6025768.372980495,49037306492.393295,825552085.7296178,3051751.28211809,0.815597510843879,69.79894748055115,192026.4088147521,70.614544991395,50251.106134091,21296006.210951593,0.0,0.0,291.9604285277921,0.0,233907.84078057398,22844943.560174823,6186962024.475052
262,Laminated plastic plates and shapes,326130,US,183941.09362959315,1675010.0545758223,15752528.31279524,2577310.7391544166,1219506.9580352446,11107.81708995668,4404644.135093689,19419632803.493702,260691967.92802796,967588.644079549,0.5110418710356832,0.8472793487630726,88193.9827466331,1.3583212197987562,21294.511448904177,7266844.89127881,0.0,0.0,50.969263620363755,0.0,1219506.9580352446,10688517.614771403,1596082748.9136205
263,Polystyrene foam products,326140,US,420382.06174040004,2945062.158784402,27696654.66304049,1363903.2821002258,7659256.578405032,25094.937738210203,1379875.9892371106,27289904251.70563,860384712.052407,290810.09693925746,0.165514500923683,1.2788368658182696,172001.60656246933,1.444351366741953,35273.08489217796,9917007.410229934,0.0,0.0,109.735605004646,0.0,7659256.578405032,53014547.68763757,2381216559.6503167
264,Urethane and other foam products,326150,US,507407.76649121684,3706011.6320278393,34852956.85977206,1094394.189447748,2870047.687322322,31789.503095410415,522671.554673686,31492410534.10763,2136852943.965912,99439.60212071854,0.16818233312809153,8.604446418696101,115975.08058660253,8.772628751824193,35080.046616939144,12304874.468618209,0.0,0.0,0.5965543412612585,0.0,2870047.687322322,26829608.364838127,2660007237.221515
265,Plastic bottles,326160,US,106663.25283155742,5197836.2890594,48882729.44037776,363972.84062740894,446062.94829488883,6912.747347032849,124570.26906647235,32006319937.279617,174051100.678948,59097.42369803746,0.019904188983151952,0.8942655041493603,30840.88445822867,0.9141696931325111,37396.43420241812,12819053.991166463,0.0,0.0,7.606504352749861,0.0,446062.94829488883,3754356.573845399,3685563832.693072
266,Other plastic products,326190,US,1590931.1869762365,38669587.71418763,363414713.66592544,8717101.423860472,1023928923.7925812,86596.0914419845,7389200.298226909,320022762081.1114,3216113109.441887,3081184.063264089,1.7023601687208976,5.125501299301886,323280.2250182923,6.827861468022787,349773.4408256434,132925150.92822352,0.0,0.0,1037.682325190505,0.0,1023928923.7925812,49417525.116277196,34663483884.898705
267,Rubber tires,326210,US,1370205.9347950574,9794747.783380875,92114098.87973966,797541.7294262877,0.0,83479.14622766578,46593542.54672562,70630821494.55902,2323150765.174274,732621.2099249355,1.0137327685979476,7.476574392285736,612497.4184225487,8.490307160883683,80693.87168528524,27230002.440986745,0.0,0.0,410.8994933426582,0.0,0.0,66062079.26482153,8034048235.537942
268,Rubber and plastic belts and hoses,326220,US,324418.4563731255,3279891.643704272,30845537.81941201,1585561.3920419822,13141290.759420052,36470.40826263935,10440077.156709978,38079948808.4432,386226960.3116827,270282.7416130616,0.1171319924299875,2.3545687871127328,113912.28508130633,2.4717007795427213,42041.50065249471,14661900.918441167,0.0,0.0,853.2898136461914,0.0,13141290.759420052,8908797.958670713,3242107028.503248
269,Other rubber products,326290,US,309466.5997915812,8507947.775392598,80012467.91235347,2274648.509160405,1156015.2614343907,25325.001715816772,6932828.456589544,67110807680.49354,1309262431.3011353,235018.1134222963,0.09635327116690834,1.7149506808084116,145707.42533553657,1.8113039519753176,72589.25510871895,25324752.02152317,0.0,0.0,106.89380980060257,0.0,1156015.2614343907,10886831.686234243,7029833951.852479
270,Motor vehicle and motor vehicle parts and supplies,423100,US,3382263.418176148,50038649.449640796,618874163.9177411,3715247.4670834034,20923373.915438954,197115.5163628196,6950804.9937018305,8142979931.607516,690380750.2153289,133761.67662248402,0.3219699895053504,4.17768494062457,528111.1882720233,4.4996549301299185,286565.8964378794,37872889.46381997,0.0,0.0,7.187373349350324,0.0,20923373.915438954,78113920.89885864,53027361689.85611
271,Professional and commercial equipment and supplies,423400,US,5911370.351096099,104338929.47355992,1246156262.5422497,2302045.4225823516,46483266.423296265,343659.11337876495,4994391.504572684,19456038335.311832,560632798.7108111,74609.4748710334,0.3389132075480994,6.644965223824124,884013.2605621738,6.983878431372225,583230.5797931873,69651676.4563869,0.0,0.0,6.470733523607668,0.0,46483266.423296265,131838016.41116902,121457789706.29834
272,Household appliances and electrical and electronic goods,423600,US,4173633.919229304,67466457.07534826,828092169.4559731,8014730.169641354,27446219.26026922,242446.4073644062,14451480.67628323,15273326182.42591,404683189.2019141,46099.699793725595,0.2534991929688275,8.88921529547462,634178.264023192,9.142714488443445,271907.8540621909,40172900.45583255,0.0,0.0,3.8789491479501668,0.0,27446219.26026922,92531001.14716737,83838886630.00435
273,"Machinery, equipment, and supplies",423800,US,6321501.811956283,85141831.35086395,1031225452.7121539,3954985.3634635527,35061761.31754448,355104.5780558888,19687740.725984186,38895575298.94501,1257168443.6148934,546965.3459421705,1.0369990226364938,42.074962335831785,1127602.8331996354,43.11196135846827,691426.9851472805,86409648.25483395,0.0,0.0,262.6413037960402,0.0,35061761.31754448,139344894.44891226,102411212998.84598
274,Other durable goods merchant wholesalers,423A00,US,13747202.968799433,135663501.46108982,1666998833.8297067,79266917.714277,30713809676.164005,762980.1054861883,400402411.78434473,50947319925.698166,4448717892.670177,612484.198744553,2.654340722647637,97.10647176865173,4464087.522188622,99.7608124912993,1065305.9158869688,206209657.1250881,36318192725.31884,28754422698.50722,131.5721892675923,0.0,1959386977.6567872,276942429.97278,144197634773.86328
275,Drugs and druggists sundries,424200,US,4022876.7829595855,77104342.45508625,955787615.2608944,5577780.949815294,44431347.27263731,233411.20968718926,3463560.563764149,6483284866.5895,275027754.87612045,33239.84222669705,0.20638880609186538,4.903651867816488,604667.239687068,5.110040673908351,150437.80675999552,26136614.157933146,0.0,0.0,1.6558689721095268,0.0,44431347.27263731,89000248.91724426,73879677992.33745
276,Grocery and related product wholesalers,424400,US,4156835.3535444816,61073422.16464792,750694407.5059686,903686.2291557323,51462292.63871542,262123.48672601362,6981349.71292358,11937614968.428968,1301885114.0773275,107996.53867710059,0.394627425118914,5.605805855794676,662453.7965209661,6.00043328091359,617980.3587976135,98027819.07886522,0.0,0.0,108.06446777094168,0.0,51462292.63871542,91516728.50360389,70642854475.19873
277,Petroleum and petroleum products,424700,US,13199674.641982062,89097267.18204041,1107362532.7858174,45394470.890440196,84532276811.81116,727348.6836387248,24993469.404667616,11060637410.756704,2357218012.9813585,7854170.621328876,1.927605096829071,55.07163066970818,3549952.9728022446,56.999235766537254,125469.23488538023,318392586.0763682,0.0,84497643617.6303,141.95717156770073,0.0,34633194.180863656,820523448.3455232,131914672794.6725
278,Other nondurable goods merchant wholesalers,424A00,US,18461633.906145148,158880654.5271949,1958206714.3134608,240444602.03196368,4282769813.3516984,1037009.1850662609,87070877.35120186,34792125834.97692,5823986032.037852,1393279.328416509,1.6794834344285499,56.78832668928447,4263289.104933843,58.46781012371303,1041784.805852196,140810463.06097922,0.0,0.0,14999.940312104532,0.0,4282769813.3516984,393408850.3173316,176502819217.19858
279,Wholesale electronic markets and agents and brokers,425000,US,1855186.3526773285,29037280.89005909,360896521.3982178,8286678.705504226,12342065.93062972,107828.0875842816,1545025.407073382,0.0,135692218.87471128,32785.462944796505,0.10449433801830009,2.744340891775321,296355.2125257363,2.8488352297936204,726311.3951335555,0.0,0.0,0.0,7334.424766659178,0.0,12342065.93062972,41445186.162009835,51567509049.512566
280,Customs duties,4200ID,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,Vehicles and parts sales,441000,US,4205145.202426688,228314720.99672207,1887272805.6400537,4939835.20723326,1289584.493367894,244530.77582333115,3505087.613558707,6044391155.0510025,659548258.7556425,57534.62802020817,0.24506089699316178,4.679581770501296,632819.5621473262,4.924642667494455,922768.5009754075,385156480.5045402,0.0,0.0,0.518591482115047,0.0,1289584.493367894,93936518.20793548,112360560020.73624
282,Food and beverage stores,445000,US,6381978.345375376,647789985.6681069,15461515280.076923,2731618.6287725456,7551535.098832392,373179.2222641885,12917798.179447588,419515.10246503685,1830974634.0003967,102456.28882163066,0.4368626119616812,10.182914384316895,1063662.8948867419,10.619776996278576,2734155.791167905,56197089.01019175,0.0,0.0,2.1131630893065556,0.0,7551535.098832392,143068221.6085264,119381484369.13335
283,General merchandise stores,452000,US,5986452.937711139,604077405.9019983,4969345286.392904,12382596.685788529,0.0,351633.96624466934,73245517.70366037,190829854.99233776,576753013.9368819,113779.7214209452,0.5161045099784977,39.621042880477404,896513.1985508831,40.137147390455915,2728254.6479181154,518425013.20390034,0.0,0.0,99.39217135115626,0.0,0.0,133860207.39210425,125443384798.13971
284,Building material and garden equipment and supplies dealers,444000,US,4030966.060089952,191392264.1904322,1644732484.8223853,9187455.267152524,64448314.81905189,474102.95834769733,17294509.860098507,1843295956.6686203,563916445.2041489,198404.21050639,0.3371927583382833,12.276804004350621,626330.9100836562,12.613996762688908,1021661.4946017511,295389363.3038796,0.0,0.0,14.426332055655596,0.0,64448314.81905189,86396829.64701466,83307232228.3004
285,Health and personal care stores,446000,US,2524457.7485114834,143115951.87912157,1260395488.2072783,4120947.9440610195,63603743.13575249,146545.02056098983,2574074.998263443,0.0,216762536.9138223,17205.103021610183,0.12966134461753384,3.0408364448297274,378485.8263122816,3.1704977894472632,975491.5108423955,177119256.49328652,0.0,0.0,1.0674999409072345,0.0,63603743.13575249,56010162.08966255,62884299341.4426
286,Gasoline stations,447000,US,3718401.2874586806,135074455.77410072,1160085011.3725762,2577347.3746680776,42744657.41768845,204715.6033925339,3182832.5796067333,0.0,512878205.6138995,45145782.839167245,1.4832164601229547,11.625762450116397,731579.7379056094,13.108978910239353,846279.8433695169,36957286.69278017,0.0,0.0,3.523918084244884,0.0,42744657.41768845,1544120910.23815,40294145320.944695
287,Clothing and clothing accessories stores,448000,US,3800296.1144255134,206276965.258693,1774127504.3869674,3787256.8376666987,67926163.7476072,220822.78792324523,3158152.661870341,4563515.462136346,315768801.5627591,61736.18150292088,0.20825789792786178,4.199820898453981,573603.7244847897,4.408078796381847,1260097.6147664576,240588423.09056842,0.0,0.0,4.141312041063895,0.0,67926163.7476072,84724658.57277854,63848544529.17298
288,Nonstore retailers,454000,US,4840947.23953142,261152989.65924564,2247017127.3948903,4806658.570640155,101163940.4452132,281069.98973188543,4267429.711248282,0.0,269769404.3713986,94588.4135803937,0.25789903282339877,5.8945109351511755,721480.460892117,6.152409967974572,348597.7578579431,65690093.155274875,0.0,0.0,0.7848515537693317,0.0,101163940.4452132,110012968.55661203,107595494759.71326
289,Other retail,4B0000,US,5479079.877331063,295307636.16831267,2672691775.224934,7050599.84427583,653409391.035164,319992.446956066,8293788.281239129,20082639525.579117,852499602.1965678,100627.43950415518,0.41839846450223384,11.931746034951082,1037689.1880633283,12.350144499453323,2129039.622679091,45129869324.33175,0.0,304064656.7364376,2.2109260925621173,0.0,349344734.2987263,121371189.60398097,114768802399.00577
290,Air transport,481000,US,300411.2150244507,29715759.663612217,434677771.7850218,1664221.798848354,111709374.66507776,18886.275642948047,1392463.5135424694,12909440.073374217,149569353293.23212,41433.09415669194,0.23132580133648142,10.524568713427213,63989.51393617535,10.755894514763698,452825.7142118588,117589426.69588196,0.0,0.0,40.217387150800356,0.0,111709374.66507776,7943577.48701248,92573328078.38963
291,Rail transport,482000,US,419687408.18929845,80283.62345225988,1174377.0628705039,932964.6777909539,52324.4077991066,26581839.771106087,699446992.866982,0.0,51225954276.6465,11336174.683932096,88.5835613664454,791.1132644964922,21474821.333812684,879.6968258629377,825.6917241653306,10927426730.9376,0.0,0.0,0.0035366748702126156,0.0,52324.4077991066,10257966533.76625,44461402796.89723
292,"Water transport (boats, ships, ferries)",483000,US,192746421.07099468,4695111.4010806065,68679400.60748783,6395542.961017675,69165578.64610799,11781503.975210294,66074730.1020578,74278639.23329872,22860264878.88819,1303852.7351922677,9.847027316199572,123.02549951812686,8710300.006501622,132.8725268343264,67964.18329887776,119324148.67909017,0.0,0.0,216.96305591714867,0.0,69165578.64610799,4540212534.794989,12757841082.925869
293,Truck transport,484000,US,883169434.6362456,219050696.57361835,3381195170.871228,6019084.311657806,50299874.22173044,55596283.71773485,702918939.0633161,71140992.96915644,363396808522.01746,40388055.610412374,131.72461282109018,529.7862234759642,64191878.19351061,661.5108362970543,1377014.3239807228,60666575503.35553,0.0,0.0,226.5797351899436,0.0,50299874.22173044,21578812385.949795,135669332686.35785
294,Passenger ground transport,485000,US,54165772.67454368,40426923.68693262,591063714.5518258,2638679.2627087077,110838706.08072972,3418258.5713900537,54055721.15295522,20512088.23475353,14477250285.205595,1369438.0794281089,8.405212307647101,37.9200146984096,4626514.793974996,46.32522700605674,531038.7392079614,513589146.95745975,0.0,0.0,59.91271648792222,0.0,110838706.08072972,1319587887.8520288,24889746400.92538
295,Pipeline transport,486000,US,140755598.45459342,4852762.9919781005,69376218.45959757,8981425.200020848,34870976434.243,8673465.809116622,244063294.53467143,292063015762.3186,89382868816.81148,12793762.377121544,64.02762482794103,563.0065967426314,6718052.437433967,627.0342215705728,62152.494372117464,22863657.376410674,0.0,20261812691.160473,1008.7677048674402,0.0,14609163743.08252,3842320154.4414315,34643248121.03767
296,Scenic and sightseeing transportation and support activities for transportation,48A000,US,91738045.41816929,51068357.94069183,711644637.010674,17639753.71132713,11334882.053136341,5724506.020460417,384529338.60483396,6822330362.11266,9848412069.199703,15529145.070158277,72.55858656576669,2342.3933558464996,11097665.170726964,2414.951942412267,727576.2668663624,10309066968.972696,0.0,0.0,19895.556866903964,0.0,11334882.053136341,2386148352.6730103,65007662569.54263
297,Couriers and messengers,492000,US,4166248.3496187786,98872539.49338317,1529862620.5490522,1283782.4069241385,687629.4805914493,262160.35012960975,3278061.407739009,0.0,27332251928.398724,189541.04960023647,0.6116176509512449,2.40378180038497,304720.0547855062,3.0153994513362172,640912.4069954306,359473228.9629593,0.0,0.0,2.0426022148283702,0.0,687629.4805914493,102306961.36650755,40414450696.43051
298,Warehousing,493000,US,16198615.569417624,126192760.68854226,1948920970.7749774,113897741.20644283,457326584.3867321,1029004.319129014,16730280.746842032,56715656.211948335,5222982219.213857,1189940.955349908,2.5983900709513725,34.0330472324737,1619113.4803981902,36.63143730342509,921061.2404114506,947202406.8069928,0.0,0.0,1167.324846311711,0.0,457326584.3867321,411705236.5300413,50790290991.64661
