,industry_detail,industry_code,industry_region,Impact Potential/ACID/kg SO2 eq,Waste Generated/CCDD/kg,Waste Generated/CMSW/kg,Waste Generated/CRHW/kg,Resource Use/ENRG/MJ,Impact Potential/EUTR/kg N eq,Impact Potential/ETOX/CTUe,Resource Use/WATR/kg,Impact Potential/GHG/kg CO2 eq,Chemical Releases/HAPS/kg,Impact Potential/HCAN/CTUh,Impact Potential/HNCN/CTUh,Impact Potential/HRSP/kg PM2.5 eq,Impact Potential/HTOX/CTUh,Economic & Social/JOBS/jobs,Resource Use/LAND/m2*yr,Resource Use/MNRL/kg,Resource Use/NNRG/MJ,Impact Potential/OZON/kg CFC-11 eq,Chemical Releases/PEST/kg,Resource Use/RNRG/MJ,Impact Potential/SMOG/kg O3 eq,Economic & Social/VADD/$
189,"Gaskets, seals, musical instruments, fasteners, brooms, brushes, mop and other misc. goods",339990,US,776320.5052022878,14449375.584933927,135872211.8371644,10426270.4933925,81226322.29850751,48372.84802662731,44145884.915589966,120019961980.63773,579247793.6129849,426887.95165037917,0.8156071246806182,7.465431387950336,360043.0222761233,8.281038512630952,129437.28485064051,22757690.822686058,0.0,0.0,1269.2828412031938,0.0,81226322.29850751,19516741.769026283,14594579740.301617
190,Dog and cat food,311111,US,477855.6191710039,7570611.642717194,59358804.84574399,2561379.218543305,0.0,34154.95660103525,42675906.63354285,20167999502.24887,536591541.2588921,9235.779200932791,0.06623786852388958,1.3855855111942335,311814.4480256736,1.451823379718122,21968.914845568517,4613925.178306775,0.0,0.0,118.92502994869972,0.0,0.0,7198079.978878218,5005870715.603433
191,Other animal food,311119,US,1246434.3732716048,12579891.046465375,105505071.491856,10456689.06865623,738020.2215842416,213195.73331870482,16765402.00437443,28192503018.021744,845235384.6179478,96849.42974767157,0.293838259351403,6.221429152670882,879219.8548189515,6.515267412022289,38998.591855245664,8353613.300002975,0.0,0.0,6046.570565892882,0.0,738020.2215842416,20767843.8140886,5742288124.241814
192,Flours and malts,311210,US,2237949.716029007,6831900.71609524,53637312.16551838,49493117.44261353,0.0,90129.16698270965,3171259.114247528,18087074063.301277,1618678257.8187146,80761.60104677288,0.11390614335858955,3.972951888143361,1164486.0973397722,4.08685803150195,19510.630236059817,11264414.839654004,0.0,0.0,3285.770488876054,0.0,0.0,30879524.01748459,3372400686.8607817
193,Corn products,311221,US,31230338.598042283,4204659.445554906,34157668.72826106,618019512.7400016,0.0,588939.8982829322,65726525.75656338,12323865697.661724,10474536097.219065,2506130.8728206875,1.3375129600682356,44.75990544358885,5566209.921455199,46.097418403657116,13674.85810964521,5145275.919310287,0.0,0.0,11289.83356774979,0.0,0.0,205502079.46664825,3253770555.4592395
194,"Refined vegetable, olive, and seed oils",311225,US,3068878.7439650376,7277501.719308733,57033740.52062577,218223.70034171405,4803.734186542361,347379.8166432396,3770042.8811657745,8317184413.522219,1624339527.8527308,536720.2120030096,0.11196955224764722,4.685210078185913,614508.3819383208,4.797179630433562,9562.506692871972,4465617.193141921,0.0,0.0,18.66395080860433,0.0,4803.734186542361,27648127.417376667,2300156410.926287
195,Vegetable oils and by-products,311224,US,1378679.7593037144,12455394.867463998,97612860.35688691,312003.0109881837,0.0,2212157.1723185126,1289456.5584137545,8206287078.251173,3774838221.67869,68216.25339872496,0.057497502495617754,1.7184078932947182,335407.7990449079,1.775905395790336,8333.287365912838,5986330.969448458,0.0,0.0,22.620064380112474,0.0,0.0,12905810.352873346,4745950087.608908
196,Breakfast cereals,311230,US,1355335.6642158213,3553550.026670934,27849151.79913181,65537.35456879657,12677933.470712041,59514.44908233582,3737016.1393825985,12817952842.970276,830967684.6207204,13468.12515645085,0.05475919449477475,2.264503245944875,781744.2784171125,2.3192624404396502,13474.839621108424,6883223.904233424,0.0,0.0,0.8333967614542687,0.0,12677933.470712041,21047572.09844588,2736017896.635631
197,"Sugar, candy, and chocolate",311300,US,23375294.329681102,13605678.274479961,106652384.27044676,365398.5392356776,65377060.97390537,1034616.8900787464,667010833.7573872,77927727484.1904,5168309953.52666,764387.0586722712,2.1548969270737803,82.45106055411617,6100251.650619185,84.60595748118993,77931.92798397916,25083356.436632324,0.0,0.0,31.492400202229163,0.0,65377060.97390537,212206810.6056573,9361043465.41602
198,Frozen food,311410,US,2096844.3461466827,11971033.229720658,93816920.85506852,195726.08337336194,42276471.80020454,366814.3021424664,5978634.632009214,85785632373.19958,2522606589.248271,79672.27196461229,0.09515524127352376,4.1248994116778634,528917.1828983689,4.220054652951387,87571.31768433332,27918924.191191968,0.0,0.0,40.578588406049406,0.0,42276471.80020454,36673337.190437675,7896997118.570973
